"Daily Weather Observations for Melbourne (Olympic Park), Victoria for September 2019"
"Prepared at 13:01 UTC on Saturday 12 September 2020   IDCJDW3033.201909"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-09-1,11.1,19.6,0,,,NNW,48,15:55,14.2,49,,N,17,1017.7,19.0,42,,N,20,1013.8
,2019-09-2,10.2,17.6,2.4,,,N,39,20:58,11.4,80,,WSW,9,1022.3,17.1,56,,N,20,1016.1
,2019-09-3,9.2,19.6,0.6,,,NW,24,10:27,14.7,67,,N,9,1015.6,17.1,55,,SSW,13,1013.4
,2019-09-4,8.2,18.7,0,,,WSW,26,11:14,12.6,81,,NNE,13,1015.5,17.9,51,,SSW,11,1014.0
,2019-09-5,8.7,21.2,3.4,,,NNE,28,13:14,11.3,87,,NE,9,1014.8,20.1,36,,NNW,13,1009.8
,2019-09-6,11.3,16.0,2.0,,,SSW,41,16:38,12.2,72,,NNW,13,1001.4,12.6,75,,WNW,6,999.5
,2019-09-7,8.8,12.9,1.0,,,SSW,46,12:47,9.4,87,,W,17,1011.8,11.8,66,,WSW,15,1012.6
,2019-09-8,8.2,15.1,0.6,,,W,48,17:12,11.0,71,,WNW,9,1016.6,10.5,83,,W,15,1013.1
,2019-09-9,6.8,12.8,5.6,,,SSW,57,09:59,8.7,74,,SSW,17,1022.6,11.0,66,,SSW,19,1024.7
,2019-09-10,7.7,14.8,2.6,,,SSW,20,11:40,9.8,82,,SW,7,1029.4,14.1,51,,SSW,9,1028.2
,2019-09-11,5.0,20.8,0,,,NNE,41,15:34,11.2,74,,NNE,7,1030.6,20.0,41,,N,22,1025.6
,2019-09-12,11.1,20.8,0,,,N,56,04:18,14.2,44,,N,17,1017.7,14.3,82,,S,17,1019.8
,2019-09-13,7.7,18.6,0,,,SSW,31,19:58,11.2,64,,W,7,1025.0,17.1,44,,NNW,9,1021.9
,2019-09-14,9.3,20.0,0,,,N,24,18:47,12.5,71,,SW,7,1027.1,18.6,47,,SSW,7,1022.9
,2019-09-15,12.4,21.8,1.6,,,N,52,09:41,15.0,58,,N,22,1018.5,19.8,48,,N,20,1014.4
,2019-09-16,9.7,12.8,13.0,,,SSW,43,11:43,10.6,77,,SSW,9,1020.5,12.3,48,,S,13,1022.5
,2019-09-17,3.6,14.8,0,,,SSW,33,15:50,10.8,50,,SE,13,1028.3,13.0,48,,S,17,1026.7
,2019-09-18,4.3,18.9,0,,,SSW,22,14:23,10.6,68,,NE,6,1028.7,17.9,44,,SW,9,1024.6
,2019-09-19,8.2,24.0,0,,,N,54,14:20,15.7,57,,NNE,11,1022.3,23.4,42,,N,24,1016.9
,2019-09-20,15.7,26.2,0,,,NNW,50,12:55,21.6,46,,NNE,20,1017.3,25.5,37,,N,20,1013.0
,2019-09-21,14.5,19.4,0,,,NNW,61,11:49,14.6,79,,S,11,1007.0,18.5,51,,NNW,24,1010.1
,2019-09-22,7.9,15.5,4.6,,,N,33,18:04,11.5,52,,NNW,15,1023.4,14.4,40,,NNW,15,1021.5
,2019-09-23,8.9,15.2,2.0,,,W,30,10:35,10.8,67,,W,11,1023.8,11.3,88,,SW,4,1025.3
,2019-09-24,8.3,15.1,1.4,,,W,24,08:50,11.7,69,,W,11,1029.0,13.6,56,,SSW,7,1027.7
,2019-09-25,8.7,16.6,0,,,SSW,20,15:03,11.8,71,,NW,9,1030.0,15.5,57,,SSW,11,1027.2
,2019-09-26,8.3,20.3,0,,,NNE,30,16:32,12.4,77,,NNW,9,1027.5,19.7,41,,WNW,11,1021.5
,2019-09-27,12.3,18.8,0,,,N,50,10:16,16.8,41,,N,19,1015.3,10.8,85,,WSW,11,1016.7
,2019-09-28,7.2,14.9,0.2,,,SW,26,10:58,10.2,70,,W,6,1022.7,14.2,50,,S,11,1021.1
,2019-09-29,9.1,15.8,0,,,SSW,31,16:08,11.8,68,,WSW,9,1021.7,14.4,58,,S,15,1022.0
,2019-09-30,10.1,14.1,0,,,SSW,31,12:53,12.1,51,,S,13,1028.6,13.0,57,,S,13,1028.0
