"Daily Weather Observations for Melbourne (Olympic Park), Victoria for October 2019"
"Prepared at 13:01 UTC on Friday 11 September 2020   IDCJDW3033.201910"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-10-1,4.2,20.5,0,,,WSW,24,13:44,11.4,62,,NE,6,1030.4,16.6,55,,SSW,13,1026.2
,2019-10-2,9.3,26.5,0,,,N,39,09:39,19.0,50,,NNE,11,1025.1,25.2,24,,N,17,1021.1
,2019-10-3,15.1,29.7,0,,,N,46,12:36,25.7,27,,NNE,15,1017.7,17.3,69,,SSW,13,1017.2
,2019-10-4,12.5,15.2,0,,,S,28,01:01,12.7,75,,SW,9,1024.7,12.1,79,,SSE,13,1022.2
,2019-10-5,7.6,24.3,1.8,,,,,,12.9,74,,W,4,1021.5,18.6,54,,WSW,6,1016.0
,2019-10-6,12.9,24.8,0,,,N,48,06:10,,,,,,,23.4,40,,WNW,17,1007.1
,2019-10-7,11.6,16.4,0,,,,,,12.4,62,,W,9,1014.9,15.6,51,,S,9,1012.8
,2019-10-8,9.5,14.2,2.6,,,,,,10.0,83,,W,7,1016.0,12.9,62,,S,22,1020.2
,2019-10-9,8.5,15.0,5.8,,,SSE,31,03:32,10.2,94,,W,7,1027.4,13.6,65,,S,17,1026.9
,2019-10-10,10.2,14.7,0.2,,,SSW,28,14:39,12.0,77,,SSE,7,1025.7,13.7,68,,S,15,1023.8
,2019-10-11,9.5,18.9,0,,,SE,39,15:15,11.0,81,,ENE,6,1020.2,17.9,54,,SSE,13,1016.9
,2019-10-12,8.2,20.4,0,,,SSW,26,13:19,13.1,64,,NE,6,1019.4,19.3,48,,SW,11,1016.6
,2019-10-13,9.4,23.1,0,,,N,41,10:47,13.9,67,,NNE,11,1018.5,21.4,39,,NNE,20,1016.5
,2019-10-14,13.6,26.7,0.2,,,NNW,41,13:43,18.5,51,,N,13,1013.6,25.4,31,,NNW,20,1009.9
,2019-10-15,13.0,18.0,0,,,SSW,30,15:50,14.0,67,,SSW,9,1014.6,15.8,58,,SSW,11,1013.5
,2019-10-16,13.3,20.4,0,,,SSW,33,14:52,14.1,73,,N,6,1010.8,19.4,53,,N,7,1007.8
,2019-10-17,9.5,15.2,4.4,,,W,46,14:29,10.8,66,,NW,13,1009.1,15.1,52,,WNW,11,1010.3
,2019-10-18,7.3,22.1,0.8,,,SSW,52,18:51,11.5,60,,NNW,19,1015.9,20.2,35,,NNW,26,1010.6
,2019-10-19,9.4,15.3,0.8,,,WNW,43,16:00,11.8,58,,NW,13,1015.3,13.0,62,,W,13,1017.0
,2019-10-20,10.0,16.4,0.8,,,S,30,12:25,12.2,73,,WNW,7,1024.8,15.2,58,,SW,15,1026.0
,2019-10-21,11.5,17.0,0,,,SSW,24,13:09,11.9,73,,WSW,6,1029.5,15.4,62,,S,11,1027.9
,2019-10-22,11.9,19.6,0,,,S,24,11:53,13.0,73,,SE,2,1027.1,17.1,61,,SSW,15,1023.9
,2019-10-23,8.2,27.9,0,,,SSW,20,13:12,13.8,72,,NE,7,1021.8,26.7,13,,SSW,11,1018.3
,2019-10-24,13.0,33.8,0.2,,,N,46,10:50,19.8,45,,NNE,13,1014.8,32.6,14,,N,26,1010.3
,2019-10-25,16.8,21.6,0,,,N,46,03:42,16.8,60,,SW,13,1005.8,19.0,51,,NNE,17,1004.1
,2019-10-26,9.6,15.5,3.8,,,WNW,54,11:57,11.3,71,,NW,15,1002.9,14.1,64,,WNW,15,1007.4
,2019-10-27,10.3,17.0,1.2,,,SSW,31,20:47,13.1,58,,W,11,1015.9,16.1,51,,WNW,9,1016.4
,2019-10-28,8.7,21.6,1.4,,,SW,20,13:20,13.2,72,,NE,6,1024.2,17.9,54,,SSW,15,1022.1
,2019-10-29,9.7,30.5,0,,,N,39,11:31,18.9,38,,NNE,11,1019.2,29.3,19,,NNW,19,1015.9
,2019-10-30,13.8,25.1,0,,,SSW,24,12:11,18.3,74,,S,7,1017.7,21.0,64,,SW,11,1014.7
,2019-10-31,14.2,33.7,0,,,NNW,52,11:55,25.1,33,,N,17,1012.8,32.6,20,,N,26,1010.4
