"Daily Weather Observations for Melbourne (Olympic Park), Victoria for November 2019"
"Prepared at 13:01 UTC on Thursday 10 September 2020   IDCJDW3033.201911"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-11-1,20.0,34.3,0,,,NNW,59,11:37,26.5,34,,N,19,1010.1,33.4,21,,NNW,28,1006.0
,2019-11-2,15.8,18.9,4.2,,,SSW,41,00:27,17.0,94,,NNE,9,1009.8,18.0,98,,NE,15,1008.2
,2019-11-3,12.8,20.7,12.4,,,S,39,16:06,17.3,86,,N,6,1011.7,18.6,76,,SE,6,1011.6
,2019-11-4,9.5,16.2,1.2,,,WSW,35,19:15,14.2,64,,NW,9,1015.6,13.4,76,,W,11,1015.0
,2019-11-5,7.7,19.6,10.2,,,SSW,24,10:10,10.5,65,,W,6,1020.8,17.4,43,,SSE,9,1016.7
,2019-11-6,10.5,24.1,0,,,NW,54,12:52,15.8,59,,N,15,1009.0,22.9,29,,NW,24,1002.1
,2019-11-7,11.5,17.7,0,,,N,48,08:59,13.8,54,,NW,17,1004.4,14.5,79,,SW,11,1002.1
,2019-11-8,10.3,15.0,6.8,,,SSW,54,14:50,12.4,73,,W,13,1003.9,12.9,51,,W,17,1007.6
,2019-11-9,7.6,14.2,6.4,,,WSW,43,15:27,11.2,64,,W,9,1016.6,13.6,61,,WSW,13,1014.3
,2019-11-10,10.8,18.1,0.2,,,W,30,23:28,12.8,80,,WSW,9,1017.1,16.6,63,,SW,9,1016.2
,2019-11-11,10.0,29.6,0,,,N,44,12:35,18.0,57,,NNW,20,1012.8,27.3,27,,NNW,20,1007.6
,2019-11-12,11.5,17.4,0.6,,,SSW,48,01:45,13.8,65,,SW,13,1008.3,15.6,46,,WNW,17,1009.7
,2019-11-13,9.1,17.3,1.6,,,SW,35,12:21,12.5,58,,WNW,15,1016.5,16.3,49,,WNW,13,1015.5
,2019-11-14,12.1,22.4,0.8,,,NW,30,14:39,14.7,67,,NW,13,1016.2,20.9,45,,WNW,11,1013.1
,2019-11-15,13.0,18.5,0,,,NW,35,11:42,14.2,65,,W,9,1011.5,17.7,69,,SSW,11,1010.8
,2019-11-16,9.2,17.2,0,,,SSW,28,08:58,13.1,58,,SW,11,1018.9,16.3,48,,SSW,11,1018.3
,2019-11-17,10.8,16.2,0,,,SSW,31,06:51,12.6,73,,WSW,6,1021.5,15.2,50,,SSW,17,1021.2
,2019-11-18,8.5,26.9,0,,,NNW,28,10:09,15.0,59,,N,15,1017.0,23.8,35,,SSW,13,1012.9
,2019-11-19,11.4,18.6,0,,,SSW,30,14:44,15.6,81,,SSW,9,1013.8,17.4,62,,SSW,13,1014.3
,2019-11-20,9.4,34.7,0,,,N,33,15:27,14.1,73,,NE,4,1013.8,31.9,21,,NE,13,1009.2
,2019-11-21,14.0,40.9,0,,,NNW,85,13:07,32.3,17,,N,33,1002.2,30.6,28,,SW,22,999.2
,2019-11-22,13.6,20.0,0,,,SSW,31,16:01,15.4,57,,S,11,1016.8,19.4,47,,S,11,1015.7
,2019-11-23,10.1,23.8,0,,,SSW,37,13:46,15.9,64,,W,6,1017.6,20.9,54,,S,17,1016.8
,2019-11-24,11.9,23.7,0,,,SSW,30,15:53,15.4,60,,SSW,6,1018.7,21.2,44,,SSW,13,1013.8
,2019-11-25,11.4,27.4,0,,,NNW,39,20:35,23.7,27,,N,19,1008.2,21.5,39,,S,9,1007.8
,2019-11-26,11.4,16.4,2.0,,,SSW,52,11:05,13.6,70,,SSW,17,1005.6,15.5,53,,SSW,20,1011.1
,2019-11-27,8.6,24.8,0,,,NNW,28,08:25,13.4,56,,NW,11,1016.9,23.7,29,,S,7,1013.4
,2019-11-28,11.4,21.1,0,,,SSW,35,15:49,17.0,55,,S,7,1016.5,20.0,48,,SSW,15,1014.3
,2019-11-29,11.9,19.7,0,,,SW,35,13:16,15.6,81,,NE,2,1012.7,19.3,61,,S,15,1011.0
,2019-11-30,10.3,18.4,8.0,,,S,28,09:48,12.9,76,,SSW,6,1013.9,17.2,40,,SSW,11,1011.8
