"Daily Weather Observations for Melbourne (Olympic Park), Victoria for December 2019"
"Prepared at 13:01 UTC on Wednesday  9 September 2020   IDCJDW3033.201912"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-12-1,12.2,16.8,0,,,NNW,43,09:12,12.6,58,,N,20,1003.3,14.4,75,,NNW,19,998.7
,2019-12-2,9.8,15.5,3.4,,,SSW,46,11:20,11.5,61,,W,15,996.9,13.7,54,,SSW,17,1001.0
,2019-12-3,11.0,22.2,0.4,,,WNW,48,15:22,15.3,63,,WNW,17,1005.7,21.5,44,,W,15,1004.8
,2019-12-4,12.1,23.0,0,,,WSW,35,02:48,14.4,61,,WNW,11,1011.8,20.8,36,,W,13,1010.2
,2019-12-5,12.3,23.9,0,,,SW,41,13:34,14.4,64,,NNW,20,1009.2,22.9,37,,W,19,1006.9
,2019-12-6,13.3,20.8,0,,,SSW,39,13:31,14.7,63,,WSW,11,1011.5,19.9,47,,SSW,9,1011.6
,2019-12-7,11.2,21.0,0,,,S,35,15:37,14.6,63,,SW,13,1017.4,20.4,45,,SSW,9,1015.7
,2019-12-8,13.8,27.6,0,,,S,26,13:32,16.5,58,,SE,7,1020.2,21.2,58,,SSW,11,1017.2
,2019-12-9,16.3,38.0,0,,,N,46,09:31,27.6,31,,N,13,1013.9,37.2,13,,NW,11,1010.6
,2019-12-10,14.3,17.2,0,,,SSW,35,10:31,15.9,73,,S,11,1019.0,16.3,59,,S,17,1020.0
,2019-12-11,13.4,18.1,0,,,SSW,37,16:57,14.9,61,,SSE,9,1018.7,17.1,69,,S,19,1017.7
,2019-12-12,13.4,18.4,0,,,S,33,08:46,15.0,77,,SW,11,1018.3,17.4,57,,SSW,17,1018.5
,2019-12-13,11.4,20.9,0,,,SSW,28,19:46,15.3,55,,SW,11,1019.0,19.8,50,,S,11,1015.6
,2019-12-14,14.1,20.1,0,,,SW,35,00:06,15.7,73,,WSW,9,1015.3,19.6,59,,S,6,1013.6
,2019-12-15,15.1,21.7,0,,,S,28,14:17,16.0,70,,WSW,6,1010.7,20.3,49,,S,13,1009.3
,2019-12-16,13.0,22.6,0,,,SSW,26,14:26,15.3,87,, ,Calm,1015.1,21.1,55,,SSW,11,1016.2
,2019-12-17,12.6,26.3,0,,,SSW,26,15:59,18.3,70,, ,Calm,1019.4,25.4,48,,SSW,9,1017.5
,2019-12-18,15.9,40.1,0,,,N,28,10:16,23.6,59,,NNE,6,1015.5,39.2,14,,SSW,4,1010.6
,2019-12-19,17.2,23.3,0,,,S,30,04:31,17.5,81,,SSW,11,1017.8,21.3,64,,SSW,17,1017.8
,2019-12-20,13.7,43.5,0,,,N,50,12:29,21.1,56,,NNE,9,1013.6,41.3,13,,N,22,1007.1
,2019-12-21,16.9,20.2,0,,,S,46,11:20,17.2,71,,S,20,1017.2,18.3,58,,S,19,1020.1
,2019-12-22,13.1,19.6,0,,,SSW,39,13:54,15.6,53,,SE,13,1024.1,17.9,53,,SSW,20,1021.9
,2019-12-23,12.1,20.0,0,,,SSW,35,17:12,15.6,70,,SSW,9,1019.7,18.7,65,,SSW,15,1017.4
,2019-12-24,14.1,24.5,0,,,SSW,39,15:32,16.1,67,,S,9,1018.9,21.2,65,,SSW,17,1016.3
,2019-12-25,14.0,27.9,0,,,SW,30,17:44,18.4,75,,N,6,1016.9,26.4,32,,SSW,15,1015.1
,2019-12-26,16.5,20.5,0,,,S,31,12:23,17.4,76,,SW,9,1021.1,18.8,64,,S,19,1020.9
,2019-12-27,13.6,23.9,0,,,SSW,30,16:44,17.0,66,,SE,9,1020.3,21.0,65,,SSW,13,1014.7
,2019-12-28,16.7,28.4,0,,,S,35,15:04,23.7,57,,WSW,6,1011.9,25.4,52,,SSW,15,1012.6
,2019-12-29,16.8,33.2,0,,,SSW,35,15:46,22.8,69,,N,2,1015.0,25.7,61,,SSW,15,1010.9
,2019-12-30,19.7,40.8,0,,,N,67,12:19,33.1,27,,N,19,1005.8,40.6,13,,N,33,1000.1
,2019-12-31,15.3,21.2,2.4,,,S,39,16:14,16.8,63,,SSW,13,1011.1,20.8,45,,SSW,15,1012.3
