"Daily Weather Observations for Melbourne (Olympic Park), Victoria for January 2020"
"Prepared at 13:01 UTC on Tuesday  8 September 2020   IDCJDW3033.202001"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-01-1,11.8,24.9,0,,,S,33,19:06,17.8,69,,SSW,7,1016.8,23.6,38,,S,11,1015.7
,2020-01-2,12.8,25.0,0,,,SSW,35,16:40,19.4,66,,SSW,6,1020.3,23.8,48,,SSW,13,1018.1
,2020-01-3,13.7,36.6,0,,,ESE,20,18:58,18.9,62,,S,7,1016.8,28.5,41,,SW,9,1009.4
,2020-01-4,18.6,26.8,0,,,SSW,48,15:49,25.5,43,,SW,7,1008.1,19.2,73,,S,13,1014.5
,2020-01-5,12.7,16.7,2.2,,,SSE,35,16:59,13.0,89,,SSE,9,1023.8,15.2,64,,SSE,15,1023.7
,2020-01-6,11.9,18.0,8.2,,,SSW,24,15:23,12.9,100,,SSE,2,1019.7,15.6,85,,W,7,1018.8
,2020-01-7,12.6,20.1,1.2,,,S,31,14:13,17.9,89,,SSE,6,1017.8,19.8,80,,SSW,13,1017.1
,2020-01-8,16.8,23.8,0,,,SSW,37,16:14,18.5,75,,S,9,1018.8,22.7,72,,SSW,17,1017.1
,2020-01-9,17.9,31.9,0,,,SSE,28,02:39,20.2,74,,NNW,11,1016.1,29.9,42,,SSW,9,1011.2
,2020-01-10,20.1,32.9,0,,,SSW,57,14:27,28.4,46,,NNW,19,1004.7,21.6,86,,S,19,1005.4
,2020-01-11,13.5,19.3,15.6,,,SSW,41,19:49,15.3,65,,WSW,7,1017.7,18.4,52,,S,19,1019.2
,2020-01-12,14.2,19.9,0,,,SSW,39,15:39,16.2,66,,SSE,13,1021.5,18.0,65,,SSW,17,1020.0
,2020-01-13,12.7,32.2,0,,,NNW,39,11:29,16.7,76,,NE,6,1016.0,30.6,28,,NNE,19,1012.5
,2020-01-14,16.7,33.8,0,,,SE,26,17:51,20.2,79,,SSW,4,1016.1,26.0,62,,WSW,11,1012.6
,2020-01-15,19.5,36.8,0,,,WSW,50,14:56,25.1,43,,N,13,1008.2,35.8,28,,N,19,1003.1
,2020-01-16,15.7,19.6,19.6,,,SSW,46,17:25,17.1,78,,SSW,15,1012.0,18.7,65,,SSW,17,1012.7
,2020-01-17,14.4,24.8,0,,,SE,50,18:29,17.1,73,,SSE,9,1012.8,24.0,50,,SE,19,1009.7
,2020-01-18,13.9,29.4,0,,,SSE,39,15:20,17.6,74,,N,2,1010.9,27.8,51,,SSW,9,1005.5
,2020-01-19,17.5,25.5,0,,,E,43,15:25,20.0,81,,NNW,6,1006.8,24.3,64,,SSW,17,1002.7
,2020-01-20,19.1,21.8,0.4,,,SSW,39,11:36,21.2,80,,SSW,9,1004.0,18.8,87,,S,17,1003.4
,2020-01-21,14.8,23.5,44.0,,,SW,33,00:41,16.4,66,,W,9,1010.9,21.1,51,,SSW,9,1008.4
,2020-01-22,14.1,31.7,0,,,N,59,11:05,23.5,46,,N,20,1002.6,31.1,30,,N,26,997.9
,2020-01-23,12.9,22.6,22.8,,,NNW,46,11:29,15.5,85,,NNW,9,997.1,20.6,48,,NNW,22,998.6
,2020-01-24,11.7,24.1,1.2,,,NNW,31,16:56,16.3,53,,NNW,11,1011.3,21.7,40,,WNW,11,1012.1
,2020-01-25,13.0,27.4,0,,,NNW,26,10:37,18.3,62,,NNE,9,1015.2,25.1,41,,SSW,11,1012.6
,2020-01-26,15.8,23.6,0,,,SSW,33,11:44,19.1,82,,NE,2,1013.3,21.4,68,,SSE,11,1014.3
,2020-01-27,12.8,23.1,0,,,SSE,30,15:44,17.4,67,,N,2,1015.5,22.2,52,,SSW,15,1014.6
,2020-01-28,13.6,25.4,0,,,SSW,31,16:50,18.2,75,, ,Calm,1015.7,23.5,39,,SSW,7,1015.1
,2020-01-29,15.2,31.5,0,,,SSW,19,14:47,18.8,74,,NNE,4,1018.2,28.6,31,,S,9,1015.4
,2020-01-30,16.4,39.4,0,,,N,35,10:32,21.6,47,,NNE,11,1012.4,38.1,13,,NNW,11,1008.8
,2020-01-31,21.5,42.9,0,,,NNW,59,15:05,28.2,36,,NNE,9,1007.4,42.2,22,,NW,20,1003.3
