"Daily Weather Observations for Melbourne (Olympic Park), Victoria for February 2020"
"Prepared at 13:01 UTC on Thursday  8 October 2020   IDCJDW3033.202002"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-02-1,23.5,29.3,0.8,,,SSW,28,14:33,28.9,65,,N,7,1006.7,19.0,100,,S,13,1009.0
,2020-02-2,14.2,25.1,14.8,,,NNW,31,10:55,16.8,63,,NW,9,1012.4,22.9,47,,WNW,11,1010.2
,2020-02-3,13.2,17.7,0,,,S,46,11:23,13.2,81,,SW,17,1013.1,16.9,50,,SSW,20,1016.6
,2020-02-4,11.3,19.7,0,,,S,43,16:06,15.4,50,,SSE,9,1023.2,18.4,48,,SSW,19,1021.0
,2020-02-5,10.8,20.1,0,,,S,35,16:48,15.4,66,,ESE,6,1022.0,18.9,57,,SSW,17,1019.9
,2020-02-6,13.7,25.5,0,,,SSW,30,15:38,16.5,76,,N,9,1021.0,24.6,56,,SSW,15,1018.6
,2020-02-7,16.5,23.2,0,,,S,30,18:16,19.7,95,,W,6,1022.2,21.4,80,,SSW,11,1021.4
,2020-02-8,17.4,29.4,0,,,ESE,50,16:58,21.8,78,,SE,11,1022.6,28.9,41,,SE,20,1019.0
,2020-02-9,19.6,28.2,0,,,SE,48,14:34,21.8,63,,SE,13,1018.6,26.2,49,,SE,19,1015.4
,2020-02-10,18.5,27.7,0.6,,,ESE,31,11:29,19.5,87,,SSE,15,1011.9,27.3,57,,ESE,15,1008.0
,2020-02-11,19.5,25.9,0,,,SSW,30,16:08,21.1,86,,NNE,6,1009.0,25.4,65,,SSW,13,1008.6
,2020-02-12,19.1,27.7,0,,,SSE,39,17:19,20.1,93,,SE,7,1013.5,23.6,77,,SSW,19,1012.9
,2020-02-13,19.4,31.7,0,,,SSE,35,02:25,22.7,73,,ESE,4,1013.3,29.9,52,,SSW,9,1009.7
,2020-02-14,20.3,33.7,0,,,NNW,31,11:04,24.2,77,,NE,7,1007.6,24.2,81,,WSW,19,1006.0
,2020-02-15,18.9,19.3,5.4,,,SSW,37,18:40,19.0,100,,SSW,11,1009.8,18.0,100,,SSW,9,1011.3
,2020-02-16,16.9,26.4,2.8,,,ESE,31,18:36,18.3,80,,SE,6,1014.2,24.6,57,,SE,11,1012.4
,2020-02-17,15.2,25.6,0,,,SSW,28,14:24,17.8,80,,NNE,6,1013.1,24.3,63,,SSW,15,1009.8
,2020-02-18,17.6,21.8,0,,,SW,52,17:27,19.7,90,,SE,4,1005.6,18.1,99,,WSW,6,1004.1
,2020-02-19,13.3,19.7,38.0,,,SSW,46,20:13,15.6,92,,SSW,15,1009.0,18.7,63,,SSW,22,1011.6
,2020-02-20,14.2,18.7,3.2,,,S,33,01:40,15.4,65,,S,11,1015.5,17.3,60,,SSW,15,1016.5
,2020-02-21,13.5,19.6,2.8,,,S,33,12:59,15.4,90,,N,4,1019.6,18.7,55,,S,17,1020.6
,2020-02-22,11.4,21.1,0,,,SSW,31,15:59,15.7,67,,SSE,9,1023.5,20.4,52,,SW,13,1022.2
,2020-02-23,13.3,34.0,0,,,NW,43,12:59,17.1,77,, ,Calm,1020.5,32.6,37,,N,19,1015.1
,2020-02-24,16.8,23.7,0,,,SSW,24,13:02,19.4,85,,NNE,7,1018.7,20.5,88,,SSW,9,1017.7
,2020-02-25,18.4,31.6,3.6,,,NNW,43,13:33,22.1,81,,NNE,7,1011.4,29.8,38,,NNW,20,1008.0
,2020-02-26,16.2,19.2,4.0,,,WSW,44,08:53,18.1,59,,NW,11,1007.3,18.1,49,,S,20,1011.6
,2020-02-27,11.0,19.7,0.2,,,NW,33,16:50,13.1,60,,NNW,13,1013.1,18.8,47,,W,11,1011.0
,2020-02-28,13.1,20.1,0,,,WNW,28,00:53,15.7,76,,WSW,7,1015.3,18.4,64,,SSW,9,1015.4
,2020-02-29,14.7,22.4,0,,,SSW,24,14:24,15.4,82,,SW,4,1016.8,20.4,65,,SSW,13,1014.5
