"Daily Weather Observations for Melbourne (Olympic Park), Victoria for March 2020"
"Prepared at 16:01 UTC on Wednesday  7 October 2020   IDCJDW3033.202003"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-03-1,13.2,32.1,0,,,N,46,12:08,16.4,83,,NNE,9,1009.6,30.6,27,,NNW,22,1005.3
,2020-03-2,14.2,18.4,3.0,,,SSW,44,05:31,15.3,72,,SSW,13,1015.0,17.9,52,,S,15,1017.2
,2020-03-3,14.7,19.5,0,,,SSW,33,15:59,15.5,59,,SSE,11,1021.4,18.6,59,,SSW,13,1019.7
,2020-03-4,13.6,23.5,0,,,SE,19,17:04,15.5,77,,NNE,7,1016.8,21.3,61,,ESE,7,1012.7
,2020-03-5,15.4,20.3,54.6,,,SSW,20,15:05,17.9,100,,WSW,6,1003.4,19.9,100,,WSW,2,1004.3
,2020-03-6,15.9,19.0,7.0,,,S,37,14:01,16.7,77,,SSW,9,1014.4,17.2,84,,SSW,19,1016.5
,2020-03-7,15.4,20.0,0.2,,,SSW,31,15:45,16.5,73,,S,11,1022.5,18.9,70,,S,13,1022.9
,2020-03-8,13.9,22.4,0,,,SSE,39,16:12,15.7,78,,E,7,1021.8,21.6,50,,SE,17,1019.5
,2020-03-9,12.3,21.0,0,,,S,37,16:40,14.3,73,,SE,11,1023.0,20.2,48,,SSW,19,1021.4
,2020-03-10,10.3,22.3,0,,,SSW,20,14:08,12.7,85,,NE,6,1022.1,21.9,59,,S,9,1019.2
,2020-03-11,12.6,29.5,0,,,N,24,12:09,16.6,85,,NNE,6,1020.8,28.3,33,,ENE,4,1018.7
,2020-03-12,16.6,29.5,0,,,N,39,09:09,20.4,55,,NNE,9,1021.0,28.3,34,,N,20,1018.5
,2020-03-13,19.1,26.8,0,,,SSW,54,15:08,22.3,44,,N,17,1013.7,25.9,46,,NNW,15,1010.6
,2020-03-14,13.1,17.9,0.6,,,SE,43,12:37,14.2,52,,SSE,15,1024.2,16.7,45,,SSE,20,1023.4
,2020-03-15,12.7,18.8,0,,,SSE,31,17:06,13.8,74,,SE,7,1025.5,17.6,64,,SSW,13,1024.7
,2020-03-16,9.3,26.5,0,,,NNE,22,14:39,11.6,87,,NE,7,1027.2,25.2,35,,N,13,1024.5
,2020-03-17,11.6,28.2,0,,,N,43,09:09,17.9,63,,NNE,11,1026.1,26.7,37,,N,19,1022.9
,2020-03-18,17.7,28.3,0,,,N,43,10:45,22.1,42,,N,20,1021.6,27.5,35,,N,17,1019.2
,2020-03-19,18.7,30.4,0,,,N,39,12:40,24.1,43,,N,13,1018.3,29.5,34,,N,15,1014.7
,2020-03-20,16.1,22.7,0,,,W,44,15:25,17.5,63,,NW,13,1016.2,22.3,47,,WSW,13,1015.3
,2020-03-21,14.6,18.4,0,,,SSW,24,03:33,15.3,64,,S,4,1022.9,17.7,59,,SW,9,1021.4
,2020-03-22,12.1,18.3,0,,,SSW,39,11:50,14.9,76,,W,9,1022.6,17.7,67,,SSW,17,1024.8
,2020-03-23,12.7,17.1,0.4,,,S,31,15:58,14.1,66,,SE,11,1028.7,16.5,63,,S,11,1026.8
,2020-03-24,8.5,17.9,0,,,S,31,15:25,10.8,75,,NE,6,1024.9,16.5,55,,SSW,17,1022.7
,2020-03-25,10.8,17.5,0,,,S,30,12:03,15.2,53,,SSE,6,1023.9,15.7,61,,SSW,15,1025.0
,2020-03-26,13.7,19.8,0,,,WSW,30,15:00,15.2,78,,SSE,11,1027.7,19.0,65,,SW,13,1025.5
,2020-03-27,13.6,27.6,0,,,NNW,30,10:28,15.0,90,,NNE,7,1025.5,26.8,36,,NNE,13,1022.1
,2020-03-28,14.8,27.5,0,,,NNE,41,10:19,16.5,68,,N,9,1021.4,26.9,37,,NNE,20,1017.5
,2020-03-29,16.5,26.4,0,,,NNW,48,11:56,22.1,43,,N,11,1012.8,19.1,75,,W,17,1011.7
,2020-03-30,15.9,21.7,5.2,,,W,26,09:24,16.9,75,,W,7,1013.0,19.6,55,,S,6,1013.2
,2020-03-31,12.2,21.4,0,,,SSW,22,13:48,14.1,84,,NE,7,1018.4,20.0,51,,S,13,1017.0
