"Daily Weather Observations for Melbourne (Olympic Park), Victoria for May 2020"
"Prepared at 13:01 UTC on Monday  5 October 2020   IDCJDW3033.202005"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-05-1,7.6,13.0,8.0,,,NW,46,10:02,9.0,80,,WSW,9,1001.7,12.4,62,,W,17,999.5
,2020-05-2,8.3,14.2,1.4,,,WNW,44,11:18,10.3,81,,W,15,1005.8,13.4,66,,SSW,15,1007.7
,2020-05-3,9.8,15.0,1.8,,,SSW,30,12:12,11.3,72,,W,6,1023.3,13.8,63,,SSW,6,1024.1
,2020-05-4,9.4,14.8,0.2,,,WSW,19,04:24,10.1,97,,W,6,1029.6,13.8,78,,SSW,7,1028.2
,2020-05-5,8.0,19.5,0.4,,,N,31,12:52,10.2,100,,NNE,13,1030.5,18.9,51,,NNE,17,1026.7
,2020-05-6,10.2,20.1,0,,,N,48,14:09,15.2,64,,NNW,19,1026.1,19.1,56,,N,26,1021.6
,2020-05-7,15.1,21.1,0,,,NNW,59,11:04,17.9,52,,N,17,1014.8,20.5,51,,N,24,1008.8
,2020-05-8,12.6,19.6,0,,,NNW,41,14:08,14.8,70,,NNW,15,1013.2,18.7,53,,NNW,22,1011.1
,2020-05-9,12.6,14.0,0.6,,,SW,39,14:23,12.6,81,,W,17,1007.2,12.4,75,,WSW,9,1009.5
,2020-05-10,7.2,14.5,7.0,,,NW,28,01:53,9.9,65,,NW,7,1023.1,13.6,59,,W,9,1023.5
,2020-05-11,7.8,17.1,0.6,,,NNW,22,10:13,11.1,74,,NNE,9,1028.8,16.0,57,,N,11,1026.4
,2020-05-12,10.3,14.8,0.2,,,N,41,12:02,12.1,69,,N,17,1024.0,14.4,66,,N,19,1020.9
,2020-05-13,10.4,14.5,1.4,,,SSW,30,14:09,10.5,90,,WSW,7,1025.2,13.8,54,,SSW,13,1025.3
,2020-05-14,6.6,14.7,2.8,,,SSW,20,14:58,7.9,89,,NNE,9,1030.7,13.6,53,,SSW,11,1029.3
,2020-05-15,4.5,15.3,0,,,SSW,19,14:17,6.7,86,,NE,9,1032.3,14.1,58,,S,7,1029.3
,2020-05-16,4.5,18.0,0,,,NNW,35,11:17,7.9,87,,NNE,7,1031.2,17.5,46,,N,15,1028.9
,2020-05-17,5.1,18.5,0,,,NNE,19,00:49,7.1,91,,NNE,9,1033.1,16.6,44,,S,7,1030.4
,2020-05-18,5.5,19.4,0,,,N,33,15:04,8.1,87,,NNE,7,1031.6,18.7,51,,N,19,1027.5
,2020-05-19,8.1,17.7,0,,,NNW,33,12:51,13.6,69,,N,13,1024.4,17.5,57,,N,19,1019.0
,2020-05-20,10.3,15.8,15.6,,,NNW,56,01:27,12.5,83,,NNW,11,1013.1,15.3,43,,NW,17,1012.0
,2020-05-21,9.4,13.7,12.4,,,S,31,14:18,10.1,99,,WSW,4,1017.0,13.1,62,,SSW,15,1017.9
,2020-05-22,9.1,13.6,11.4,,,SW,24,10:10,10.1,87,,W,6,1021.7,13.3,64,,SSW,7,1018.7
,2020-05-23,9.4,13.5,0,,,SSE,33,23:55,11.1,95,,SSE,6,1018.7,12.3,97,,SSW,13,1016.8
,2020-05-24,10.9,13.8,3.0,,,S,35,01:50,11.9,66,,S,13,1022.0,13.2,77,,SSW,17,1022.0
,2020-05-25,5.5,16.0,0,,,ESE,31,13:07,8.5,100,,S,7,1026.0,15.5,56,,SE,9,1024.1
,2020-05-26,5.4,18.5,0,,,N,26,14:56,5.9,100,,NNE,11,1026.8,17.9,44,,NNW,15,1021.6
,2020-05-27,5.9,17.1,0,,,N,39,11:34,13.7,67,,NNE,9,1020.8,16.1,65,,N,17,1018.1
,2020-05-28,12.1,17.6,0,,,N,20,02:01,13.7,71,,NNW,9,1021.9,14.7,70,,SSW,9,1021.5
,2020-05-29,7.2,17.1,0,,,NNW,33,15:41,10.0,92,,NNE,9,1027.2,16.6,65,,N,17,1024.9
,2020-05-30,8.1,17.1,0,,,N,56,12:15,12.5,73,,N,15,1023.5,15.9,52,,N,28,1015.8
,2020-05-31,12.4,17.8,0,,,N,44,00:33,13.1,71,,NNW,9,1012.9,16.8,48,,NNW,15,1009.8
