"Daily Weather Observations for Melbourne (Olympic Park), Victoria for June 2020"
"Prepared at 13:01 UTC on Sunday  4 October 2020   IDCJDW3033.202006"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-06-1,9.3,11.2,5.0,,,SW,48,15:43,9.9,84,,NW,11,1005.0,10.0,92,,W,11,1007.1
,2020-06-2,8.4,15.6,11.6,,,SSW,39,14:09,11.1,79,,NW,7,1019.2,14.9,68,,NW,9,1018.1
,2020-06-3,10.5,14.1,0.6,,,S,37,05:56,12.0,76,,SSE,11,1028.9,13.0,58,,S,15,1031.0
,2020-06-4,9.3,13.8,0,,,SSW,20,10:43,11.4,68,, ,Calm,1034.9,13.2,62,,SSW,7,1032.3
,2020-06-5,4.1,14.6,0,,,SSW,17,11:56,6.0,91,,NE,9,1031.2,13.4,63,,S,9,1028.5
,2020-06-6,6.0,13.3,0,,,SSE,19,22:32,8.0,85,,NE,9,1026.9,12.4,79,,SSW,9,1024.3
,2020-06-7,7.9,11.8,0,,,S,19,14:00,10.1,77,,SE,9,1027.1,10.7,75,,S,11,1025.8
,2020-06-8,4.5,12.6,0,,,SE,15,12:51,5.6,100,,NE,7,1032.1,12.3,72,,SSW,7,1031.4
,2020-06-9,2.0,15.3,0.2,,,NNW,24,11:45,3.9,95,,NNE,11,1033.8,14.9,48,,N,13,1030.5
,2020-06-10,3.9,16.7,0,,,NNW,28,11:35,8.4,87,,N,9,1028.6,15.4,63,,SSW,6,1024.7
,2020-06-11,4.5,16.9,0,,,NNE,17,10:02,5.5,99,,NNE,11,1026.6,16.0,48,, ,Calm,1024.6
,2020-06-12,4.2,15.3,0,,,N,33,12:28,5.7,93,,NNE,9,1025.8,14.6,50,,N,17,1022.0
,2020-06-13,5.7,16.4,0,,,N,37,14:22,13.1,75,,N,17,1016.0,15.9,64,,N,19,1010.4
,2020-06-14,10.4,15.2,5.8,,,NNW,43,14:00,11.6,71,,NW,17,1013.7,14.2,62,,NNW,20,1012.7
,2020-06-15,11.6,18.4,0,,,N,46,16:01,14.0,81,,N,15,1018.0,17.8,56,,NNW,13,1016.9
,2020-06-16,13.0,17.9,0,,,NNW,37,10:19,14.5,75,,N,13,1019.7,17.3,52,,NW,9,1020.5
,2020-06-17,10.2,14.6,0.4,,,SW,24,13:04,11.1,89,,NNE,4,1034.1,12.9,47,,SSW,9,1033.4
,2020-06-18,4.6,16.9,0,,,N,35,12:13,6.4,87,,NNE,9,1035.6,16.8,60,,N,17,1030.5
,2020-06-19,6.4,17.8,0,,,N,46,13:18,13.7,72,,N,20,1025.4,17.0,61,,NNW,20,1020.5
,2020-06-20,12.8,16.9,1.4,,,N,33,10:46,13.8,80,,N,13,1016.4,16.0,60,,N,15,1014.0
,2020-06-21,6.9,12.0,0,,,NE,17,05:45,8.1,98,,NNW,6,1011.3,11.8,79,,NE,6,1009.8
,2020-06-22,8.1,13.0,0,,,WSW,26,11:50,9.8,80,,W,11,1010.8,12.6,76,,WSW,11,1009.0
,2020-06-23,9.0,14.4,2.2,,,SSW,24,14:37,10.1,100,, ,Calm,1014.1,13.9,77,,SSW,13,1015.4
,2020-06-24,10.1,14.9,0.4,,,SSW,17,00:28,11.7,100,,SSW,6,1019.3,14.4,82,,SSW,7,1017.5
,2020-06-25,10.2,15.9,0,,,N,30,11:35,12.0,79,,NNW,13,1019.5,13.8,72,,N,15,1018.9
,2020-06-26,7.9,13.8,1.2,,,WNW,20,00:06,9.4,81,,ENE,6,1026.5,12.0,76,,SSW,11,1026.2
,2020-06-27,6.2,13.1,0,,,SSW,13,14:03,8.1,100,, ,Calm,1029.6,12.2,68,,S,6,1027.9
,2020-06-28,1.7,12.5,0.2,,,NNE,13,05:25,2.5,100,,NNE,7,1030.5,12.1,67,,S,6,1028.2
,2020-06-29,2.2,15.4,0,,,NNW,26,15:23,3.0,98,,NE,9,1029.0,14.8,46,,NNW,13,1024.6
,2020-06-30,3.0,15.2,0,,,N,52,10:39,9.9,71,,N,11,1020.3,14.4,50,,N,24,1015.3
