"Daily Weather Observations for Melbourne (Olympic Park), Victoria for July 2020"
"Prepared at 13:01 UTC on Saturday  3 October 2020   IDCJDW3033.202007"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-07-1,9.8,17.4,0,,,N,50,15:13,12.1,75,,N,17,1015.3,16.6,45,,N,28,1009.8
,2020-07-2,10.2,15.1,1.2,,,,,,10.9,71,,N,11,1012.0,14.1,45,,NNW,17,1013.4
,2020-07-3,7.7,10.3,0,,,N,33,11:49,8.2,78,,N,17,1017.9,8.1,97,,S,15,1017.5
,2020-07-4,6.5,14.5,7.8,,,WSW,28,12:51,9.0,86,,NW,7,1023.9,13.1,80,,WNW,7,1022.6
,2020-07-5,8.9,12.5,4.6,,,SSW,22,11:51,10.2,91,,WNW,2,1027.0,12.4,81,,SSW,9,1027.0
,2020-07-6,8.1,13.1,1.0,,,SSW,20,12:10,9.0,98,, ,Calm,1031.8,12.5,81,,SW,9,1030.5
,2020-07-7,8.9,11.8,1.4,,,SSE,17,19:45,9.9,100,,SSW,6,1032.5,11.4,92,,SSW,6,1030.9
,2020-07-8,4.9,15.7,0,,,NNW,26,14:07,7.4,100,,NNE,6,1030.5,15.1,59,,N,13,1027.1
,2020-07-9,5.7,17.2,0,,,NNW,33,14:49,7.8,92,,NNE,7,1028.4,16.2,51,,NNW,20,1025.5
,2020-07-10,6.4,16.9,0,,,NNW,26,13:06,8.6,93,,ENE,6,1024.6,16.6,63,,NNW,9,1020.4
,2020-07-11,7.3,11.4,0,,,N,15,00:02,9.5,100,,E,2,1017.5,10.8,98,,NE,7,1015.0
,2020-07-12,9.0,14.2,6.8,,,SSE,20,09:22,9.3,100,,SSE,9,1018.9,12.9,89,,SSW,2,1019.1
,2020-07-13,8.7,15.1,3.4,,,SSE,30,14:54,10.5,99,,S,9,1026.0,15.0,71,,SSE,13,1024.8
,2020-07-14,7.7,14.2,0,,,SSE,30,10:41,10.4,89,,SSE,7,1029.7,13.7,60,,SSE,13,1026.9
,2020-07-15,6.2,14.7,0.2,,,SSE,28,15:04,8.4,100,,ESE,6,1025.4,14.5,63,,SE,13,1022.2
,2020-07-16,4.2,11.5,0,,,WNW,35,10:32,5.9,100,, ,Calm,1024.8,11.2,86,,SSW,7,1023.6
,2020-07-17,3.1,12.8,0,,,NNE,17,23:55,5.0,100,,NNW,4,1025.1,11.6,73,,NE,7,1021.2
,2020-07-18,4.0,12.5,0,,,N,52,11:44,8.3,80,,N,13,1019.9,11.8,63,,N,22,1015.9
,2020-07-19,8.2,15.3,0,,,NNW,59,16:19,10.9,65,,NNW,20,1012.0,15.0,56,,NNW,22,1007.9
,2020-07-20,7.6,13.8,0.6,,,WNW,33,14:09,10.0,74,,NW,9,1021.3,13.2,63,,WSW,11,1022.7
,2020-07-21,7.2,12.9,0.4,,,SSW,20,15:19,8.1,100,,S,2,1030.6,12.7,75,,SSW,7,1029.7
,2020-07-22,8.1,13.3,0,,,SSW,22,12:56,10.6,82,,NW,6,1029.3,11.9,73,,S,7,1027.4
,2020-07-23,8.1,12.0,2.2,,,S,19,11:13,9.3,87,,WSW,6,1028.1,11.4,66,,SSW,9,1025.8
,2020-07-24,6.1,13.5,0,,,N,26,10:19,7.1,81,,N,15,1026.6,13.0,48,,NNE,13,1023.5
,2020-07-25,4.3,12.2,0,,,SSW,17,14:16,6.1,80,,NNE,6,1026.4,11.1,78,,W,7,1024.5
,2020-07-26,5.0,12.8,0,,,NE,19,13:17,7.5,100,,W,2,1023.7,11.7,78,,ENE,2,1018.5
,2020-07-27,7.4,13.5,0,,,SE,33,21:58,9.6,98,,SW,7,1018.8,12.7,86,,S,15,1018.3
,2020-07-28,9.6,15.6,0.4,,,S,33,10:11,11.8,89,,S,9,1021.4,14.1,77,,SSW,11,1018.8
,2020-07-29,8.6,16.3,0,,,SSW,20,12:28,10.1,100,,SSE,4,1019.3,15.5,61,,N,2,1018.2
,2020-07-30,8.0,14.2,0,,,SSE,19,13:51,9.7,87,,SE,2,1027.6,13.7,54,,S,9,1027.0
,2020-07-31,3.4,17.1,0,,,N,22,14:03,5.8,89,,NNE,9,,15.2,52,,SSW,9,1025.3
