"Daily Weather Observations for Melbourne (Olympic Park), Victoria for August 2020"
"Prepared at 16:01 UTC on Friday  2 October 2020   IDCJDW3033.202008"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-08-1,5.7,16.4,0,,,N,43,11:20,11.0,78,,N,20,1024.7,15.8,54,,N,19,1021.7
,2020-08-2,9.0,18.2,0,,,N,35,10:46,10.7,78,,N,19,1024.0,17.7,47,,N,17,1020.5
,2020-08-3,7.5,16.0,0,,,SSW,33,18:08,10.8,74,,NNW,13,1017.8,15.0,46,,W,11,1013.3
,2020-08-4,5.1,10.5,1.2,,,SW,41,11:21,6.1,67,,NW,15,1013.0,10.0,53,,W,19,1012.3
,2020-08-5,4.7,11.3,5.8,,,SSW,35,12:43,8.0,75,,W,9,1016.8,10.1,67,,SSW,9,1016.4
,2020-08-6,5.5,12.8,0.8,,,S,20,12:24,8.1,85,,WSW,6,1021.6,12.2,74,,SSW,9,1020.5
,2020-08-7,3.3,12.7,0,,,ESE,37,13:44,4.7,100,, ,Calm,1020.2,12.1,58,,SE,13,1016.1
,2020-08-8,4.7,14.9,6.8,,,ESE,35,13:40,10.7,97,,ESE,7,1016.3,14.5,74,,SE,17,1015.2
,2020-08-9,8.9,15.8,0.2,,,SSE,41,11:06,10.0,93,,S,9,1019.9,15.4,52,,SE,13,1019.1
,2020-08-10,5.7,14.8,0,,,SSE,24,01:26,9.5,89,,N,4,1023.4,14.3,65,,SSW,7,1020.1
,2020-08-11,4.3,15.8,0,,,N,46,13:33,9.4,77,,N,9,1018.8,15.1,49,,N,22,1015.2
,2020-08-12,9.4,15.9,0.8,,,N,41,17:07,11.9,86,,N,15,1010.9,14.6,73,,NNW,22,1007.6
,2020-08-13,11.4,18.1,1.2,,,N,39,15:04,14.0,85,,N,19,1011.6,16.9,70,,N,24,1010.3
,2020-08-14,10.7,18.1,0.8,,,N,35,11:49,13.5,82,,NNE,9,1012.7,16.1,83,, ,Calm,1010.8
,2020-08-15,7.4,14.9,2.8,,,SSW,22,11:53,10.7,98,,NE,7,1013.6,14.1,80,,SSW,11,1012.3
,2020-08-16,10.7,15.0,0.4,,,S,31,14:13,11.4,97,,SW,9,1013.6,13.1,89,,SSW,13,1011.5
,2020-08-17,9.5,16.3,0,,,N,30,22:42,11.1,82,,WNW,7,1011.7,15.9,50,,WNW,9,1007.1
,2020-08-18,10.0,17.2,0.2,,,NNW,41,14:11,12.6,77,,NNE,15,1001.2,14.4,63,,N,19,996.9
,2020-08-19,9.7,12.7,1.2,,,N,31,06:40,10.0,79,,N,15,990.4,11.4,88,,SW,6,991.0
,2020-08-20,9.6,15.7,3.8,,,NW,37,11:13,11.4,70,,WNW,13,1001.8,14.3,47,,WNW,13,1000.7
,2020-08-21,8.5,14.1,0.4,,,NNW,46,12:33,10.3,56,,NW,15,1001.6,11.3,51,,NNW,24,1000.3
,2020-08-22,5.8,11.1,4.4,,,W,46,13:55,7.0,82,,NW,11,1001.7,7.2,92,,SW,11,1003.0
,2020-08-23,6.8,11.5,25.6,,,S,37,14:45,8.2,100,,W,6,1012.2,10.6,74,,S,17,1013.4
,2020-08-24,6.3,12.4,2.8,,,SSW,28,14:26,8.6,79,,WNW,9,1022.3,10.8,65,,S,11,1022.7
,2020-08-25,3.6,13.0,0,,,S,26,12:09,8.4,80,,ESE,6,1030.2,11.7,74,,SSW,9,1029.2
,2020-08-26,6.1,14.5,0,,,NNW,20,23:16,9.4,80,, ,Calm,1031.2,14.1,53,,SSW,9,1027.3
,2020-08-27,8.8,20.7,0,,,SSW,61,17:50,11.3,59,,N,20,1022.5,18.3,46,,N,24,1013.8
,2020-08-28,8.5,17.6,1.4,,,W,26,10:36,11.0,69,,NW,9,1027.6,17.0,40,,WNW,7,1026.4
,2020-08-29,9.2,19.3,0,,,N,46,11:34,12.0,67,,N,26,1028.0,18.8,39,,N,22,1023.5
,2020-08-30,12.0,19.8,0,,,N,54,10:33,15.2,52,,N,26,1018.0,19.6,39,,NNW,19,1012.4
,2020-08-31,6.9,12.5,1.0,,,SSW,37,12:32,8.8,76,,W,7,1024.6,11.5,67,,S,13,1024.8
