"Daily Weather Observations for Melbourne (Olympic Park), Victoria for September 2020"
"Prepared at 13:01 UTC on Wednesday  7 October 2020   IDCJDW3033.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,6.6,15.7,0,,,NNW,44,15:49,8.6,76,,NE,9,1023.5,14.7,44,,N,26,1016.6
,2020-09-2,8.6,22.0,0,,,N,63,13:24,15.6,42,,N,17,1010.6,20.9,37,,N,31,1005.7
,2020-09-3,12.9,19.9,0,,,NNW,59,12:51,16.0,50,,N,20,1009.6,17.5,39,,NNW,24,1009.2
,2020-09-4,9.0,17.3,0,,,NNW,39,13:52,11.6,65,,NNW,17,1017.8,16.8,41,,NW,15,1014.7
,2020-09-5,9.7,16.6,0.2,,,N,28,00:12,13.0,71,,WNW,7,1018.8,16.5,49,,SW,9,1019.3
,2020-09-6,6.9,19.2,0.2,,,N,46,12:02,12.9,65,,N,11,1025.6,18.4,45,,N,22,1023.2
,2020-09-7,8.8,22.9,0,,,N,63,12:29,16.6,43,,N,15,1025.2,22.5,34,,N,31,1020.2
,2020-09-8,16.6,19.9,0,,,NNW,57,05:58,19.4,60,,N,26,1020.5,15.6,77,,S,9,1023.1
,2020-09-9,8.1,15.6,1.0,,,SSW,35,15:15,13.0,63,,SSE,11,1030.7,14.2,60,,SSW,15,1028.1
,2020-09-10,5.4,21.4,0,,,N,24,15:36,10.6,79,,NNE,6,1028.4,20.5,45,,NNE,9,1024.4
,2020-09-11,10.4,19.4,0,,,N,56,09:55,15.5,50,,N,19,1027.5,18.6,48,,N,26,1024.1
,2020-09-12,13.3,16.0,1.6,,,N,35,13:41,13.4,76,,N,13,1025.7,15.0,69,,N,9,1019.8
,2020-09-13,11.9,17.2,11.8,,,W,26,08:26,11.9,92,,WSW,11,1022.7,16.7,52,,S,7,1021.1
,2020-09-14,11.1,16.6,0,,,SSW,31,09:47,13.3,69,,WSW,11,1028.2,16.3,51,,SSW,9,1027.4
,2020-09-15,7.4,15.8,0,,,SSW,22,14:27,11.9,71,,SW,7,1030.5,14.8,58,,SSW,11,1026.8
,2020-09-16,7.1,22.8,0,,,NNW,46,10:59,15.3,52,,N,24,1020.4,21.6,36,,N,20,1015.6
,2020-09-17,11.8,15.5,0.8,,,SSW,31,13:28,12.6,99,,SSW,11,1025.2,14.1,78,,S,13,1025.8
,2020-09-18,8.4,18.7,0,,,ESE,20,00:08,12.9,82,,NNE,2,1028.4,17.5,67,,SSW,7,1024.9
,2020-09-19,11.3,26.3,0,,,NNE,43,10:35,18.4,80,, ,Calm,1020.0,25.5,39,,NNE,22,1013.8
,2020-09-20,17.1,22.0,0,,,NNW,50,14:21,18.7,72,,N,24,1007.1,21.6,50,,N,24,1004.5
,2020-09-21,16.6,19.8,0,,,NNW,54,12:40,17.7,69,,N,13,1004.8,19.1,37,,NNW,24,1003.1
,2020-09-22,12.3,18.9,0,,,NNW,65,13:35,14.6,53,,NNW,26,1006.0,17.9,46,,NNW,20,1004.2
,2020-09-23,10.6,15.1,0.2,,,WSW,35,09:31,12.5,63,,WNW,15,1012.0,13.3,69,,SW,15,1011.5
,2020-09-24,8.2,15.0,1.6,,,N,46,22:49,11.0,61,,WNW,13,1013.9,14.2,41,,N,20,1009.3
,2020-09-25,7.2,11.9,3.2,,,WSW,35,13:50,8.6,85,,WNW,6,1002.3,8.0,69,,WSW,15,1002.2
,2020-09-26,6.2,13.4,9.4,,,W,44,04:34,10.1,74,,SSW,19,1013.7,11.6,74,,SSW,9,1014.7
,2020-09-27,8.8,13.4,3.0,,,SW,33,14:55,11.4,53,,SSE,13,1025.6,12.2,42,,SSW,17,1026.2
,2020-09-28,6.5,13.6,0,,,SSW,24,15:45,10.8,64,, ,Calm,1029.5,12.5,55,,SW,11,1026.7
,2020-09-29,4.3,21.0,0,,,NNW,39,13:39,10.8,74,,NE,11,1024.1,21.0,35,,N,20,1017.6
,2020-09-30,10.7,19.4,0.6,,,N,56,14:14,14.5,77,,N,20,1011.9,17.9,56,,N,22,1007.0
