,today+0,today+1,today+2,today+3,today+4,today+5,today+6
2020-09-25,12.0,13.0,14.0,15.0,20.0,21.0,22.0
2020-09-26,13.0,14.0,15.0,21.0,19.0,20.0,24.0
2020-09-27,14.0,15.0,21.0,19.0,20.0,24.0,21.0
2020-09-28,15.0,21.0,19.0,20.0,27.0,28.0,16.0
2020-09-29,21.0,20.0,20.0,26.0,28.0,20.0,17.0
2020-09-30,19.0,20.0,26.0,27.0,17.0,17.0,17.0
2020-10-01,20.0,26.0,27.0,24.0,15.0,15.0,18.0
2020-10-02,27.0,28.0,25.0,14.0,15.0,18.0,20.0
2020-10-03,28.0,27.0,15.0,15.0,17.0,18.0,18.0
2020-10-04,28.0,14.0,15.0,17.0,21.0,20.0,21.0
2020-10-05,14.0,14.0,18.0,19.0,19.0,20.0,20.0
2020-10-06,14.0,18.0,19.0,19.0,19.0,18.0,24.0
2020-10-07,17.0,19.0,18.0,21.0,19.0,21.0,23.0
2020-10-08,18.0,22.0,18.0,18.0,23.0,26.0,
