date,location,today+0,today+1,today+2,today+3,today+4,today+5,today+6
2020-10-02,Melbourne,27,28,25,14,15,18,20
2020-10-02,Geelong,28,28,23,15,15,17,20
2020-10-02,FallsCreek,11,15,15,8,6,8,6
2020-10-02,Wilsons Prom,24,23,19,14,13,14,16
2020-10-02,Mildura,33,35,34,18,19,22,23
2020-10-02,Corryong,24,28,28,20,19,21,18
2020-10-03,Melbourne,28,27,15,15,17,18,18
2020-10-03,Geelong,29,24,16,15,17,18,19
2020-10-03,FallsCreek,14,15,8,4,7,6,7
2020-10-03,Wilsons Prom,23,19,14,13,15,15,16
2020-10-03,Mildura,35,35,20,19,21,20,23
2020-10-03,Corryong,28,28,22,17,18,18,19
2020-10-04,Melbourne,28,14,15,17,21,20,21
2020-10-04,Geelong,27,15,15,17,20,21,21
2020-10-04,FallsCreek,15,8,3,9,7,8,11
2020-10-04,Wilsons Prom,21,14,13,15,16,16,17
2020-10-04,Mildura,36,19,18,17,22,23,26
2020-10-04,Corryong,28,23,17,20,18,20,23
2020-10-05,Melbourne,14,14,18,19,19,20,20
2020-10-05,Geelong,15,15,18,19,19,20,20
2020-10-05,FallsCreek,10,7,9,7,5,8,11
2020-10-05,Wilsons Prom,14,14,15,17,16,16,16
2020-10-05,Mildura,19,20,17,19,23,27,28
2020-10-05,Corryong,25,20,21,19,17,21,23
2020-10-06,Melbourne,14,18,19,19,19,18,24
2020-10-06,Geelong,15,18,18,19,18,17,23
2020-10-06,FallsCreek,7,8,8,4,8,9,12
2020-10-06,Wilsons Prom,14,15,18,16,15,15,16
2020-10-06,Mildura,19,17,18,22,26,25,26
2020-10-06,Corryong,19,19,19,16,20,22,23
2020-10-07,Melbourne,17,19,18,21,19,21,23
2020-10-07,Geelong,18,20,18,21,19,20,22
2020-10-07,FallsCreek,9,8,4,8,9,10,12
2020-10-07,Wilsons Prom,15,18,15,16,15,16,16
2020-10-07,Mildura,17,18,21,26,28,29,30
2020-10-07,Corryong,19,20,17,20,22,23,23
