,Persistence Accuracy,1 Day Forecast,2 Day Forecast,3 Day Forecast,4 Day Forecast,5 Day Forecast,6 Day Forecast
2021-01-07,-3,-1.0,-1.0,6.0,-7.0,-2.0,-2.0
2020-12-28,4,0.0,2.0,-9.0,-3.0,-2.0,0.0
2020-11-23,-7,0.0,-5.0,1.0,2.0,0.0,2.0
2020-11-03,8,-3.0,-2.0,-4.0,0.0,2.0,-4.0
2020-12-25,-8,-1.0,-1.0,-1.0,-1.0,-4.0,-1.0
2020-11-21,-1,0.0,0.0,-1.0,-3.0,0.0,0.0
2020-12-03,6,0.0,-1.0,-3.0,0.0,0.0,-4.0
2021-01-11,-1,-1.0,-3.0,0.0,0.0,-4.0,-5.0
2020-12-27,5,0.0,-1.0,-2.0,-4.0,-5.0,0.0
2020-10-29,-1,0.0,-2.0,-2.0,-3.0,2.0,-2.0
2020-11-09,-1,-1.0,0.0,2.0,2.0,0.0,-3.0
2020-12-10,-1,-1.0,1.0,3.0,0.0,-2.0,-1.0
2020-11-26,-2,0.0,0.0,0.0,-1.0,0.0,-2.0
2020-12-13,-3,0.0,0.0,-1.0,0.0,-2.0,1.0
2020-10-22,7,0.0,-1.0,0.0,-2.0,1.0,1.0
2020-12-09,3,-1.0,0.0,-2.0,1.0,1.0,2.0
2020-11-16,-4,0.0,0.0,1.0,1.0,2.0,-1.0
2020-10-15,-1,1.0,2.0,2.0,2.0,0.0,-1.0
2021-01-02,-2,1.0,2.0,2.0,1.0,-2.0,2.0
2021-01-12,-1,0.0,0.0,0.0,-1.0,1.0,-2.0
2020-12-11,1,0.0,0.0,-1.0,-1.0,-3.0,9.0
2020-10-30,2,0.0,-1.0,-1.0,-3.0,9.0,7.0
2021-01-08,0,0.0,0.0,-4.0,6.0,8.0,-2.0
2020-11-04,-7,0.0,-4.0,6.0,8.0,-2.0,0.0
2020-10-16,0,-4.0,6.0,8.0,-2.0,0.0,0.0
2020-12-20,-5,1.0,-1.0,0.0,-2.0,0.0,2.0
2020-10-21,7,0.0,0.0,0.0,1.0,2.0,5.0
2020-10-25,8,0.0,0.0,0.0,0.0,3.0,2.0
2020-10-28,-1,0.0,0.0,0.0,2.0,2.0,4.0
2020-12-31,1,0.0,0.0,2.0,2.0,3.0,4.0
2020-11-27,-5,0.0,2.0,0.0,3.0,4.0,3.0
2020-11-07,-8,2.0,0.0,0.0,1.0,1.0,3.0
2020-11-18,-2,0.0,-1.0,1.0,2.0,2.0,5.0
2020-12-29,2,-1.0,1.0,2.0,2.0,6.0,4.0
2020-12-17,4,1.0,2.0,2.0,2.0,3.0,0.0
2020-12-21,3,1.0,2.0,2.0,3.0,1.0,5.0
2020-11-17,0,1.0,0.0,0.0,1.0,5.0,3.0
2020-11-11,-12,0.0,0.0,0.0,3.0,3.0,2.0
2020-10-31,10,0.0,0.0,2.0,2.0,0.0,4.0
2020-11-05,3,0.0,1.0,1.0,3.0,3.0,7.0
2020-11-14,-8,1.0,1.0,3.0,3.0,4.0,-2.0
2020-11-02,-6,1.0,0.0,3.0,4.0,-2.0,0.0
2020-12-06,13,0.0,0.0,3.0,0.0,0.0,1.0
2020-12-12,-5,0.0,3.0,0.0,0.0,1.0,-11.0
2020-11-15,-3,-1.0,0.0,0.0,1.0,-9.0,3.0
2020-12-14,9,0.0,-1.0,1.0,-4.0,7.0,2.0
2020-11-28,0,0.0,1.0,-2.0,3.0,-9.0,-4.0
2020-10-13,-10,0.0,-1.0,2.0,-2.0,-3.0,3.0
2020-12-18,10,-1.0,3.0,-1.0,-3.0,2.0,4.0
2020-12-24,-14,1.0,-1.0,-1.0,0.0,-3.0,0.0
2021-01-01,9,-3.0,-1.0,0.0,-2.0,0.0,1.0
2020-10-27,6,0.0,0.0,-1.0,0.0,1.0,0.0
2020-10-08,-6,-1.0,-1.0,0.0,1.0,0.0,-1.0
2021-01-05,-2,-1.0,0.0,1.0,0.0,2.0,-4.0
2020-11-06,8,0.0,1.0,-1.0,4.0,0.0,-2.0
2020-11-25,-4,0.0,-1.0,-2.0,2.0,1.0,-1.0
2020-10-23,0,-1.0,0.0,0.0,-1.0,0.0,4.0
2020-12-04,-5,2.0,0.0,-1.0,0.0,3.0,-4.0
2020-12-07,8,0.0,-1.0,-1.0,3.0,-4.0,0.0
2020-10-18,2,0.0,0.0,2.0,-3.0,0.0,2.0
2020-10-14,0,0.0,1.0,0.0,2.0,2.0,-2.0
2020-12-16,-7,0.0,0.0,1.0,2.0,1.0,2.0
2020-11-08,7,0.0,0.0,2.0,1.0,3.0,-3.0
2020-10-24,-5,2.0,1.0,0.0,1.0,-3.0,4.0
2020-12-26,-6,2.0,0.0,2.0,-3.0,4.0,4.0
2020-11-19,-1,0.0,2.0,-2.0,2.0,2.0,-1.0
2020-10-17,-4,2.0,0.0,3.0,1.0,-3.0,-3.0
2020-10-10,4,-1.0,3.0,4.0,0.0,1.0,-3.0
2020-10-20,4,2.0,1.0,1.0,-1.0,-2.0,0.0
2020-11-01,-1,-1.0,0.0,-1.0,-2.0,1.0,-1.0
2020-12-08,8,0.0,0.0,-2.0,-4.0,-2.0,-1.0
2020-10-11,-1,0.0,-1.0,-1.0,-3.0,-1.0,-4.0
2020-12-02,0,0.0,-1.0,-3.0,-2.0,-3.0,-1.0
2020-10-19,-3,-2.0,-1.0,0.0,-2.0,-1.0,0.0
2020-12-22,5,0.0,0.0,-1.0,-1.0,-1.0,7.0
2020-10-26,-2,0.0,-1.0,-1.0,-1.0,7.0,-2.0
2020-11-24,1,0.0,-1.0,-3.0,5.0,-1.0,-1.0
2020-12-23,-1,0.0,0.0,4.0,-1.0,1.0,-1.0
2021-01-09,-7,0.0,3.0,-1.0,0.0,-1.0,-1.0
2020-10-12,-7,1.0,-1.0,0.0,0.0,-1.0,-1.0
2020-12-19,16,0.0,0.0,0.0,-2.0,-1.0,-1.0
2020-12-15,-4,0.0,-1.0,-2.0,-2.0,0.0,-2.0
2020-11-12,-1,0.0,0.0,-1.0,1.0,-2.0,-4.0
2020-11-13,0,1.0,-2.0,0.0,-1.0,-5.0,-3.0
2020-11-10,-3,-1.0,0.0,-1.0,-4.0,-4.0,-2.0
2020-10-09,-1,1.0,-1.0,-3.0,-2.0,-2.0,-1.0
2020-12-05,3,0.0,-2.0,-2.0,-2.0,-1.0,-3.0
2020-11-30,5,-2.0,-1.0,-1.0,-1.0,-3.0,-4.0
2020-11-29,-1,-1.0,-1.0,0.0,-1.0,0.0,7.0
2021-01-03,1,-1.0,1.0,0.0,1.0,4.0,3.0
2020-11-22,-7,1.0,0.0,0.0,3.0,3.0,-5.0
2020-12-30,0,1.0,1.0,2.0,1.0,-5.0,
2021-01-10,-1,-1.0,2.0,1.0,-2.0,,
2021-01-04,-5,0.0,1.0,-1.0,,,
2020-12-01,-6,1.0,-1.0,,,,
2020-11-20,16,-1.0,,,,,
